playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,href,id,name,type,uri,external_urls.spotify,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,1,194087,FALSE,FALSE,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,FALSE,bad guy,88,NA,TRUE,2,track,spotify:track:2Fxmhks0bxGSBdJ92vM42m,album,https://api.spotify.com/v1/albums/0S0KGZnfBGSIssfF54WSJh,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,day,14,album,spotify:album:0S0KGZnfBGSIssfF54WSJh,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,USUM71900764,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,NA,G,major,G major
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/4GNC7GD6oZMSxPGyXy4MNB,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,artist,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB,1,182160,FALSE,FALSE,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,FALSE,Someone You Loved,91,NA,TRUE,4,track,spotify:track:7qEHsqek33rTcFNT9PFqLf,album,https://api.spotify.com/v1/albums/5658aM19fA3JVwTK6eQX70,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,day,12,album,spotify:album:5658aM19fA3JVwTK6eQX70,https://open.spotify.com/album/5658aM19fA3JVwTK6eQX70,DEUM71807062,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,NA,C#,major,C# major
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS,56oDRnqbIiwx4mymNEv7dS,Lizzo,artist,spotify:artist:56oDRnqbIiwx4mymNEv7dS,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS,1,173325,FALSE,TRUE,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,FALSE,Truth Hurts,71,https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=3aae041578b64519942b572adc41f54b,TRUE,13,track,spotify:track:5qmq61DAAOUaW8AUo8xKhh,album,https://api.spotify.com/v1/albums/74gSdSHe71q7urGWMMn3qB,74gSdSHe71q7urGWMMn3qB,Cuz I Love You (Deluxe),2019-05-03,day,14,album,spotify:album:74gSdSHe71q7urGWMMn3qB,https://open.spotify.com/album/74gSdSHe71q7urGWMMn3qB,USAT21703896,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,NA,E,minor,E minor
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,artist,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq,1,157066,FALSE,FALSE,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,FALSE,Old Town Road - Remix,83,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:2YpeDb67231RjR0MgVLzsG,single,https://api.spotify.com/v1/albums/4IRiXE5NROxknUSAUSjMoO,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,day,8,album,spotify:album:4IRiXE5NROxknUSAUSjMoO,https://open.spotify.com/album/4IRiXE5NROxknUSAUSjMoO,USSM11902498,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,NA,F#,major,F# major
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/60rpJ9SgigSd16DOAG7GSa,60rpJ9SgigSd16DOAG7GSa,Billy Ray Cyrus,artist,spotify:artist:60rpJ9SgigSd16DOAG7GSa,https://open.spotify.com/artist/60rpJ9SgigSd16DOAG7GSa,1,157066,FALSE,FALSE,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,FALSE,Old Town Road - Remix,83,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:2YpeDb67231RjR0MgVLzsG,single,https://api.spotify.com/v1/albums/4IRiXE5NROxknUSAUSjMoO,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,day,8,album,spotify:album:4IRiXE5NROxknUSAUSjMoO,https://open.spotify.com/album/4IRiXE5NROxknUSAUSjMoO,USSM11902498,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,NA,F#,major,F# major
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.824,0.588,6,-6.4,0,0.0924,0.692,1.04e-4,0.149,0.513,98.027,2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,2NjfBq1NflQcKSeiDooVjY,Tones And I,artist,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://open.spotify.com/artist/2NjfBq1NflQcKSeiDooVjY,1,209438,FALSE,FALSE,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,FALSE,Dance Monkey,89,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=3aae041578b64519942b572adc41f54b,TRUE,2,track,spotify:track:2XU0oxnq2qxCpomAAuJY8K,single,https://api.spotify.com/v1/albums/0UywfDKYlyiu1b38DRrzYD,0UywfDKYlyiu1b38DRrzYD,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,day,2,album,spotify:album:0UywfDKYlyiu1b38DRrzYD,https://open.spotify.com/album/0UywfDKYlyiu1b38DRrzYD,QZES71982312,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,NA,F#,minor,F# minor
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,1,178626,FALSE,TRUE,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,FALSE,7 rings,87,NA,TRUE,10,track,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,album,https://api.spotify.com/v1/albums/2fYhqwDWXjbpjaIJPEfKFw,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,day,12,album,spotify:album:2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,USUM71900110,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,NA,C#,minor,C# minor
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,246dkjvS1zLTtiykXe5h60,Post Malone,artist,spotify:artist:246dkjvS1zLTtiykXe5h60,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,1,215280,FALSE,FALSE,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,FALSE,Circles,90,NA,TRUE,6,track,spotify:track:21jGcNKet2qwijlDFuPiPb,album,https://api.spotify.com/v1/albums/4g1ZRSobMefqF6nelkgibi,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,day,17,album,spotify:album:4g1ZRSobMefqF6nelkgibi,https://open.spotify.com/album/4g1ZRSobMefqF6nelkgibi,USUM71915699,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,NA,C,major,C major
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,artist,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,1,190799,FALSE,FALSE,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,FALSE,Señorita,82,NA,TRUE,1,track,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,album,https://api.spotify.com/v1/albums/0xzScN8P3hQAz3BT3YYX5w,0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe),2019-06-19,day,16,album,spotify:album:0xzScN8P3hQAz3BT3YYX5w,https://open.spotify.com/album/0xzScN8P3hQAz3BT3YYX5w,USUM71911283,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,NA,A,minor,A minor
37i9dQZF1DXau6DEOS07fE,Today's Top Hits Presents... Best Pop Songs of 2019,https://i.scdn.co/image/ab67706f0000000380b78883aee8714adb03646c,Spotify,spotify,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,4,2019-12-09T22:57:55Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,artist,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,1,190799,FALSE,FALSE,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,FALSE,Señorita,82,NA,TRUE,1,track,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,album,https://api.spotify.com/v1/albums/0xzScN8P3hQAz3BT3YYX5w,0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe),2019-06-19,day,16,album,spotify:album:0xzScN8P3hQAz3BT3YYX5w,https://open.spotify.com/album/0xzScN8P3hQAz3BT3YYX5w,USUM71911283,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,NA,A,minor,A minor
